id,longitude,latitude,train_id,stationA,stationB
,,,D1668,苏州,太原南
,,,D1669,苏州,太原南
,,,D1670,太原南,苏州
,,,D1701,西安北,贵阳北
,,,D1702,贵阳北,西安北
,,,D1703,贵阳北,西安北
,,,D1704,西安北,贵阳北
,,,D1705,西安北,贵阳北
,,,D1706,贵阳北,西安北
,,,D1707,贵阳北,西安北
,,,D1708,西安北,贵阳北
,,,D1751,成都东,广州南
,,,D1752,广州南,成都东
,,,D1753,成都东,广州南
,,,D1754,广州南,成都东
,,,D1755,泸州,广州南
,,,D1756,广州南,泸州
,,,D1757,广州南,泸州
,,,D1758,泸州,广州南
,,,D1761,成都东,广州南
,,,D1762,广州南,成都东
,,,D1763,成都东,广州南
,,,D1764,广州南,成都东
,,,D1765,成都东,广州南
,,,D1766,广州南,成都东
,,,D1779,绵阳,北海
,,,D1780,北海,绵阳
,,,D1781,成都东,南宁东
,,,D1782,南宁东,成都东
,,,D1785,成都东,南宁东
,,,D1786,南宁东,成都东
,,,D1791,成都东,柳州
,,,D1793,重庆西,北海
,,,D1794,南宁东,重庆西
,,,D1796,柳州,成都东
,,,D1797,重庆西,北海
,,,D1798,北海,重庆西
,,,D1801,成都东,广州南
,,,D1806,广州南,成都东
,,,D1809,成都东,广州南
,,,D1810,广州南,成都东
,,,D1812,成都东,广州南
,,,D1817,成都东,广州南
,,,D1818,广州南,成都东
,,,D1819,广州南,成都东
,,,D1820,成都东,广州南
,,,D1821,成都东,广州南
,,,D1822,广州南,成都东
,,,D1825,成都东,广州南
,,,D1826,广州南,成都东
,,,D1833,成都东,广州南
,,,D1834,广州南,成都东
,,,D1835,广州南,成都东
,,,D1841,成都东,珠海
,,,D1842,珠海,成都东
